ModA	ModB	RH	WS
0	0	98.3	0.6
0	0	98.4	1.2
0	0	98.1	1.6
0	0	97.7	2
0	0	97.7	1.8
0	0	97.8	2.2
0	0	97.8	2.3
0	0	97.8	1.3
0	0	97.9	0.1
0	0	98	0.6
0	0	98.1	0.8
0	0	98.3	1.5
0	0	98.1	1.5
0	0	98	1.9
0	0	98	1.8
0	0	98	1.6
0	0	98.1	1.7
0	0	98.1	1.7
0	0	98	1.4
0	0	98.1	1
0	0	98.2	1.2
0	0	98.2	0.9
0	0	98.2	0.9
0	0	98.4	1.2
0	0	98.2	0.5
0	0	98.2	0.5
0	0	98.2	1.3
0	0	98.1	1.2
0	0	98.2	1.5
0	0	98.1	1.3
0	0	98.2	1.1
0	0	98.2	0.7
0	0	98.3	0.6
0	0	98.2	0.8
0	0	98.4	1.1
0	0	98.5	0.9
0	0	98.4	0.2
0	0	98.6	0.5
0	0	98.5	0.7
0	0	98.3	0.1
0	0	98.4	0.1
0	0	98.5	0.1
0	0	98.5	0.5
0	0	98.6	0
0	0	98.6	0.6
0	0	98.6	0.6
0	0	98.8	0.4
0	0	98.8	1
0	0	98.9	1.1
0	0	98.9	0.8
0	0	98.9	0
0	0	98.7	0.5
0	0	98.8	0.7
0	0	98.9	1.1
0	0	98.8	0.9
0	0	98.5	0.5
0	0	98.4	1.1
0	0	98.2	0.7
0	0	98.2	1.3
0	0	98.2	0.6
0	0	98	0.9
0	0	98	1
0	0	98	0.4
0	0	98	0.4
0	0	98.1	0.3
0	0	98.1	0.6
0	0	98.1	0.6
0	0	98.1	0.9
0	0	97.9	0.2
0	0	98	0.4
0	0	98	1.1
0	0	98	0.8
0	0	98	0.5
0	0	98	0.4
0	0	98.2	0.4
0	0	98.2	1.2
0	0	98.4	1.5
0	0	98.5	0.9
0	0	98.4	0.8
0	0	98.3	1.5
0	0	98.1	1.1
0	0	98.1	1.2
0	0	98	0.7
0	0	97.8	0
0	0	98	0
0	0	98.1	0
0	0	98.1	0
0	0	98.1	0
0	0	98	0
0	0	98.1	0.2
0	0	98.1	0.1
0	0	98.2	0.7
0.1	0.1	98.1	0.1
0.1	0.1	97.9	0
0.1	0.1	97.5	0
0.2	0.2	97.5	0
0.2	0.2	97.5	0
0.3	0.3	97.4	0
0.4	0.4	97.7	0
0.5	0.4	98.1	1.3
0.5	0.5	98.3	0.7
0.6	0.6	98.2	0.2
0.8	0.7	98.4	0.2
0.9	0.9	98.4	0
1.1	1	98.5	0.1
1.2	1.1	98.5	0.9
1.4	1.3	98.4	1.3
1.5	1.4	98.6	1.6
1.6	1.5	98.5	0.7
1.8	1.6	98.7	0.1
1.9	1.8	98.7	1
2.2	2.1	98.7	1.1
2.5	2.3	98.5	1.9
2.8	2.7	98.4	1.9
3.2	3.1	98.4	1.7
3.7	3.5	98.4	1.7
4.2	4	98.4	1.1
4.8	4.6	98.5	1.4
5.4	5.2	98.5	1.5
6.1	5.8	98.5	1.2
6.8	6.4	98.6	1.2
7.4	7	98.6	1.4
8.1	7.7	98.4	1.5
8.7	8.2	98.1	1.6
9.2	8.8	98.1	1.1
9.7	9.3	98	1.5
10.3	9.8	97.8	1.8
10.8	10.3	97.9	2
11.4	10.9	97.9	1.4
12	11.4	98.1	1.3
12.6	12	98	0.7
13.2	12.6	98.2	0.9
13.8	13.2	98.2	1.4
14.5	13.8	98.1	1.4
15.1	14.4	98.2	2
15.7	15	98.2	1.7
16.3	15.6	98.2	1.5
17	16.2	98.2	1.1
17.6	16.8	98.4	0.8
18.2	17.4	98.5	1
18.9	18	98.5	0.7
19.5	18.6	98.5	0.1
20.1	19.2	98.6	0.2
20.7	19.9	98.5	0.1
21.4	20.5	98.6	0.2
22	21.1	98.6	0.4
22.7	21.8	98.5	0.1
23.4	22.5	98.5	0.1
24.2	23.1	98.6	0
24.9	23.8	98.8	0
25.6	24.5	98.7	0.1
26.3	25.2	98.6	0.1
26.9	25.9	98.8	0.2
27.7	26.6	98.8	1.5
28.4	27.3	98.5	1.2
29.1	27.9	98.6	0.6
29.8	28.7	98.8	1.1
30.6	29.4	98.9	0.9
31.4	30.2	99	0.9
32.2	31	98.9	1.1
33.1	31.8	98.9	1.2
34	32.6	98.9	0.5
