Metric,Benin_DNI,Sierra_DNI,Benin_DHI,Sierra_DHI
Mean,339.1052711993888,339.1052711993888,242.81049656226125,242.81049656226125
Std,299.18089697528546,299.18089697528546,125.68776772428727,125.68776772428727
Min,0.0,0.0,0.2,0.2
Max,844.0,844.0,623.3,623.3
